run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
randomized,segmented_randomized_20260717_143439,6,130.0,130.0,False,327,172.94089879266056,118.68813580154017,129.78600003838923,-11.311864198459823,0.13076283526595292,-0.21399996161077536,0.008035113564998607,0.13076283526595364,0.008035113564998607
randomized,segmented_randomized_20260717_143439,7,20.0,20.0,False,326,196.55996223895704,6.9520209896319045,19.321891992441085,-13.047979010368095,0.1149449870510663,-0.6781080075589165,0.011043057131098712,0.11494498705106722,0.011043057131098953
randomized,segmented_randomized_20260717_143439,8,330.0,330.0,False,320,223.64012202,316.27608303330237,330.1043584535047,-13.72391696669765,0.12073338255005805,0.104358453504687,0.006279737583769663,0.12073338255005805,0.006279737583769663
randomized,segmented_randomized_20260717_143439,9,100.0,100.0,False,328,252.9916367237805,84.08161871430848,99.49062257360738,-15.91838128569153,0.1133954305264846,-0.509377426392622,0.012264404008644184,0.11339543052648486,0.012264404008643728
randomized,segmented_randomized_20260717_143439,10,90.0,90.0,False,327,276.42225221651375,72.93932671516768,89.61018845910004,-17.06067328483232,0.12015954672101327,-0.3898115408999606,0.006878467664081712,0.1201595467210134,0.006878467664081247
randomized,segmented_randomized_20260717_143439,11,270.0,270.0,False,326,301.54963707055214,251.0291721856103,269.05327147928267,-18.970827814389715,0.12502177717545987,-0.9467285207173122,0.0038326117344030216,0.12502177717545987,0.0038326117344030216
randomized,segmented_randomized_20260717_143439,12,80.0,80.0,False,327,325.5712635125382,58.688975180024805,78.00676130565178,-21.311024819975195,0.11220935481579832,-1.993238694348228,0.013021732052771963,0.1122093548157978,0.013021732052771599
randomized,segmented_randomized_20260717_143439,13,190.0,190.0,False,327,351.6688543975535,168.98462705330124,189.70790126089548,-21.01537294669877,0.11521837253800532,-0.29209873910451567,0.011629433660648511,0.11521837253800532,0.011629433660648511
randomized,segmented_randomized_20260717_143439,14,210.0,210.0,False,327,373.86224411406727,187.544065520509,209.46256670834248,-22.455934479490992,0.13005335014590017,-0.5374332916575211,0.008329610529141149,0.13005335014590017,0.008329610529141149
randomized,segmented_randomized_20260717_143439,15,310.0,310.0,False,327,399.45980433730887,287.1916248683469,310.4886849423135,-22.808375131653126,0.12915065764134304,0.4886849423135215,0.006224439879429983,0.12915065764134304,0.006224439879429983
