trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_310_spk_A_rep01,brir_theta_310_spk_A_rep01,31,310,310,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_310_spk_B_rep02,brir_theta_310_spk_B_rep02,31,310,310,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_310_spk_A_rep02,brir_theta_310_spk_A_rep02,31,310,310,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_320_spk_A_rep01,brir_theta_320_spk_A_rep01,32,320,320,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_320_spk_B_rep01,brir_theta_320_spk_B_rep01,32,320,320,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_320_spk_A_rep02,brir_theta_320_spk_A_rep02,32,320,320,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_320_spk_B_rep02,brir_theta_320_spk_B_rep02,32,320,320,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_330_spk_B_rep01,brir_theta_330_spk_B_rep01,33,330,330,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_330_spk_A_rep01,brir_theta_330_spk_A_rep01,33,330,330,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_330_spk_B_rep02,brir_theta_330_spk_B_rep02,33,330,330,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_330_spk_A_rep02,brir_theta_330_spk_A_rep02,33,330,330,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_340_spk_A_rep01,brir_theta_340_spk_A_rep01,34,340,340,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_340_spk_B_rep01,brir_theta_340_spk_B_rep01,34,340,340,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_340_spk_A_rep02,brir_theta_340_spk_A_rep02,34,340,340,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_340_spk_B_rep02,brir_theta_340_spk_B_rep02,34,340,340,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_350_spk_B_rep01,brir_theta_350_spk_B_rep01,35,350,350,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_350_spk_A_rep01,brir_theta_350_spk_A_rep01,35,350,350,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_350_spk_B_rep02,brir_theta_350_spk_B_rep02,35,350,350,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_350_spk_A_rep02,brir_theta_350_spk_A_rep02,35,350,350,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_360_spk_A_rep01,brir_theta_360_spk_A_rep01,36,360,0,True,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_360_spk_B_rep01,brir_theta_360_spk_B_rep01,36,360,0,True,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_360_spk_A_rep02,brir_theta_360_spk_A_rep02,36,360,0,True,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_360_spk_B_rep02,brir_theta_360_spk_B_rep02,36,360,0,True,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
